rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.992788132069172338e+06 2.231515391142971438e+01 5.030327664573641602e+12 3.940332993624815622e-02 4.996662437033820083e+02 3.693835564978776187e+00
4.935296732513006777e+06 2.218569115337867004e+01 5.045345652081524414e+12 3.931665459683007097e-02 4.968490803257635662e+02 3.994329684405565573e+00
4.817367399377560243e+06 2.233633300635967700e+01 5.014412046484553711e+12 3.976076751652571351e-02 4.998890736075260861e+02 3.818329507678302814e+00
4.913563434474454261e+06 2.254479867989892483e+01 5.034022570321565430e+12 3.927626348419244184e-02 4.986626537962661132e+02 3.790385157191908938e+00
4.968448949277768843e+06 2.222634453128241816e+01 5.097076693912086914e+12 3.901950007850763652e-02 4.992333983249976086e+02 3.746506185053845694e+00
4.994801985151702538e+06 2.239391748331464527e+01 5.034998988991461914e+12 3.930841108326964262e-02 4.993041715355030306e+02 3.762509214466288832e+00
4.984592675238950178e+06 2.216136309949222039e+01 5.093584481294431641e+12 3.895409802826550055e-02 4.991943048135740923e+02 3.956252625160404879e+00
4.888590045330757275e+06 2.276864431488269247e+01 5.058896278449832031e+12 3.916955812067813431e-02 4.998293498574965383e+02 3.842014052055720885e+00
4.952134230681298301e+06 2.245757922919807470e+01 5.102059992699833984e+12 3.943410433184529884e-02 4.988431967252212758e+02 3.894644863247126221e+00
4.984628972636991180e+06 2.178704684395206925e+01 5.043130754752882812e+12 3.900389742420257849e-02 4.985688745082883884e+02 4.082169029599800325e+00
4.964426540942873806e+06 2.179729199689413832e+01 5.336614099130025391e+12 3.853637015188191711e-02 4.998457266141670061e+02 3.823980944770982937e+00
4.905318514328316785e+06 2.311092848058806837e+01 5.016897472925169922e+12 3.930485794362595375e-02 4.986344535467698051e+02 3.661740812948953039e+00
4.885631247470935807e+06 2.208163437349318059e+01 5.115621444105084961e+12 3.933831717710858239e-02 4.994895290065608151e+02 4.040821870494024637e+00
4.810813913113448769e+06 2.297802289880151250e+01 5.109641077075925781e+12 3.884463305820012174e-02 4.989116546491146664e+02 3.825013843160754767e+00
4.937967393246056512e+06 2.171172470528299669e+01 5.058240649954458008e+12 3.951501616238036613e-02 4.990370366267320037e+02 3.956014624341188668e+00
4.867058641633233055e+06 2.226252187811575212e+01 5.019144436187445312e+12 3.926110771592158932e-02 4.997404509088433429e+02 3.911088505775908164e+00
4.970615854090765119e+06 2.208785603815626430e+01 5.197198668345587891e+12 3.879472131069082452e-02 4.997070323598154573e+02 3.809670782095381902e+00
4.915723237919103354e+06 2.315972627810860374e+01 5.252700752810502930e+12 3.874075073548630122e-02 4.993669669030477962e+02 3.600362298228330094e+00
4.999144490773808211e+06 2.233563977782335996e+01 5.420472352160962891e+12 3.794667512698100126e-02 4.998970534532402894e+02 3.797464094260587952e+00
4.942967778631418943e+06 2.270964392812333443e+01 5.064848808711439453e+12 3.961099159105035961e-02 4.984634425808879996e+02 3.763539572629752694e+00
4.985470525748921558e+06 2.207849880330802250e+01 5.026254157720403320e+12 3.905194507593656023e-02 4.993096366041125407e+02 3.819225135748550493e+00
4.990511353499386460e+06 2.197791056095445583e+01 5.132343512709237305e+12 3.916090313513991006e-02 4.960094800939477864e+02 3.875091415010831764e+00
4.952367449066450819e+06 2.268591075373548804e+01 5.160464964062321289e+12 3.881680905505380946e-02 4.975313792668769111e+02 3.750746523878097705e+00
4.826952318187464960e+06 2.239720334177048855e+01 5.108876915231909180e+12 3.941176020364942773e-02 4.996113583945821688e+02 3.885143232380739775e+00
4.999032020918834955e+06 2.190856955263190287e+01 5.238329383040004883e+12 3.881476106475041654e-02 4.975952499375974867e+02 3.852676119431439172e+00
4.981110615972969681e+06 2.174348046345589225e+01 5.061745388475778320e+12 3.912162818458952279e-02 4.969035371570640223e+02 3.867083563820513881e+00
4.880625544914840721e+06 2.228410385583092790e+01 5.010902940611836914e+12 3.904480078238943552e-02 4.993262926721483268e+02 3.859047891467883851e+00
4.911697335210740566e+06 2.287998596250768202e+01 5.128276020787041992e+12 3.930401240966749365e-02 4.922662122998211771e+02 3.850579261750351368e+00
4.974020062497165054e+06 2.244917622597500539e+01 5.113031229525758789e+12 3.880230335651162210e-02 4.982565025746496303e+02 3.886306915604959666e+00
4.894696271029748954e+06 2.181985928531344854e+01 5.096945335834231445e+12 3.937299319814773629e-02 4.985852501688473808e+02 3.803938251277277693e+00
4.989010476690838113e+06 2.262417980185696109e+01 5.042861607515818359e+12 3.941609135746125536e-02 4.984783705799933387e+02 3.618299838660361978e+00
4.968383343440343626e+06 2.224548645369854327e+01 5.053949746595559570e+12 3.902490160297283212e-02 4.975534303215870864e+02 3.764427113211348264e+00
4.887711826679024845e+06 2.269143601011505496e+01 5.291171231137724609e+12 3.832767875734890972e-02 4.972034521352683782e+02 3.949443355900827957e+00
4.959406791924854741e+06 2.215462176910853032e+01 5.021966716273319336e+12 3.932863453526523612e-02 4.990834195594443372e+02 3.836205251794067461e+00
4.908865098387397826e+06 2.256780572651170758e+01 5.011403650805915039e+12 3.901187573312971113e-02 4.991600632215237852e+02 3.780321056384102096e+00
4.994121753420082852e+06 2.213674434268849467e+01 5.105916869145193359e+12 3.921780239525175793e-02 4.992155257246456017e+02 3.830836644932396062e+00
