logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.897696837240115274e+05 -6.897756764382981928e+05 1.625000000000000000e+00
-6.897756764382981928e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.269132494726898149e+05 -6.269192446869765408e+05 1.375000000000000000e+00
-6.269192446869765408e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.157975129215087509e+05 -6.158035106357954210e+05 6.600000000000000311e-01
-6.158035106357954210e+05 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.115370896691795206e+05 -6.115430898834662512e+05 7.500000000000000000e-01
-6.115430898834662512e+05 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.842509867664178601e+05 -5.842569894807045348e+05 1.950000000000000067e-01
-5.842569894807045348e+05 nan -1.250000000000000069e-02 4.000000000000000000e+02 -5.822282606810737634e+05 -5.822342658953604987e+05 1.499999999999999944e-01
-5.822342658953604987e+05 1.224290972629401767e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -5.307538067667928990e+05 -5.307598144810795784e+05 1.274999999999999911e+00
-5.307598144810795784e+05 2.660722213178072707e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -5.196420189918263350e+05 -5.196480292061130167e+05 2.999999999999999889e-01
-5.196480292061130167e+05 5.237981758014366278e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -5.155614028086669859e+05 -5.155674155229536700e+05 1.709999999999999964e+00
-5.155674155229536700e+05 4.262218390634938260e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -4.924989683213330572e+05 -4.925049835356197436e+05 1.129999999999999893e+00
-4.925049835356197436e+05 1.181930769366221648e+04 -2.499999999999999792e-02 4.000000000000000000e+02 -4.887318382069113431e+05 -4.887378559211980319e+05 1.610000000000000098e+00
-4.887378559211980319e+05 7.358979134607375272e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -4.820667380024702870e+05 -4.820727582167569781e+05 1.254999999999999893e+00
-4.820727582167569781e+05 3.706907014534493555e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -4.739883126239752164e+05 -4.739943353382619098e+05 1.864999999999999991e+00
-4.739943353382619098e+05 5.701280144343491884e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -4.588524746726343874e+05 -4.588584998869210831e+05 1.425000000000000044e+00
-4.588584998869210831e+05 9.040393699730779190e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -4.587290784625803353e+05 -4.587351061768670334e+05 1.040000000000000036e+00
-4.587351061768670334e+05 9.377888014174288401e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -4.515524834903742303e+05 -4.515585137046609307e+05 1.844999999999999973e+00
-4.515585137046609307e+05 3.398275241557971185e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -4.191449141960057314e+05 -4.191509469102924340e+05 5.999999999999999778e-02
-4.191509469102924340e+05 1.756342655745422235e+04 -4.250000000000000305e-02 4.000000000000000000e+02 -4.180760863158947323e+05 -4.180821215301814373e+05 5.999999999999999778e-02
-4.180821215301814373e+05 1.552589305252697886e+04 -4.500000000000000527e-02 4.000000000000000000e+02 -4.035109993431771873e+05 -4.035170370574638946e+05 1.665000000000000036e+00
-4.035170370574638946e+05 1.870755817724737790e+04 -4.750000000000000749e-02 4.000000000000000000e+02 -3.876147063208644395e+05 -3.876207465351511491e+05 1.745000000000000107e+00
-3.876207465351511491e+05 2.513802799126483296e+04 -5.000000000000000971e-02 4.000000000000000000e+02 -3.835019257972416235e+05 -3.835079685115283355e+05 1.620000000000000107e+00
-3.835079685115283355e+05 2.194117463030711951e+04 -5.250000000000001193e-02 4.000000000000000000e+02 -3.830846308753056219e+05 -3.830906760895923362e+05 1.780000000000000027e+00
-3.830906760895923362e+05 5.584060282421738520e+03 -5.500000000000001416e-02 4.000000000000000000e+02 -3.781889315805002698e+05 -3.781949792947869864e+05 1.574999999999999956e+00
-3.781949792947869864e+05 3.166080374766179375e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -3.702823956856136210e+05 -3.702884458999003400e+05 5.749999999999999556e-01
-3.702884458999003400e+05 5.113200800298879585e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -3.692747013134423760e+05 -3.692807540277290391e+05 5.200000000000000178e-01
-3.692807540277290391e+05 3.859208147450539400e+03 -6.250000000000001388e-02 4.000000000000000000e+02 -3.645015305720577016e+05 -3.645075857863443671e+05 4.450000000000000067e-01
-3.645075857863443671e+05 5.337328254713040224e+03 -6.500000000000001610e-02 4.000000000000000000e+02 -3.601635321724258247e+05 -3.601695898867124924e+05 1.294999999999999929e+00
-3.601695898867124924e+05 6.610572390724634715e+03 -6.750000000000001832e-02 4.000000000000000000e+02 -3.565853661635854514e+05 -3.565914263778721215e+05 9.250000000000000444e-01
-3.565914263778721215e+05 2.403682328284053710e+03 -7.000000000000002054e-02 4.000000000000000000e+02 -3.553279987050513155e+05 -3.553340614193379879e+05 1.600000000000000089e+00
