weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -6.897696837240115274e+05 4.526994458070698194e+06 4.039137699253149094e+02 1.740325563875103711e+13 9.520705703999089720e-02 1.672483033173611773e+02 2.240309574561860195e+00
0.000000000000000000e+00 -6.269132494726898149e+05 2.628689846994152758e+06 3.719901774337346296e+02 1.918478336994587500e+13 9.771420656894573564e-02 4.032405184176141688e+02 5.385626641511050750e+00
0.000000000000000000e+00 -6.157975129215087509e+05 3.688969196019312833e+06 3.463941221789485212e+02 1.764869594393101562e+13 9.645353377069326717e-02 2.951320915384503110e+02 1.394939707269653795e+01
0.000000000000000000e+00 -6.115370896691795206e+05 2.420201932063859422e+06 3.099260334534704384e+02 1.877950001099687500e+13 9.982967945608174631e-02 4.832990090598515849e+02 1.374099823109884611e+01
0.000000000000000000e+00 -5.842509867664178601e+05 2.980031828666533343e+06 4.124667336897689438e+02 1.951280461272936719e+13 9.106421541667406028e-02 4.152000287314409093e+02 6.534875100807571613e+00
0.000000000000000000e+00 -5.822282606810737634e+05 3.596941382551967166e+06 4.206371626983716396e+02 1.811786292842250000e+13 9.011305998886642854e-02 2.688934128472710086e+02 2.786077439959039115e+00
0.000000000000000000e+00 -5.307538067667928990e+05 4.759495910714494064e+06 4.018370666042827111e+02 1.311550330256564453e+13 8.920918963449966932e-02 2.388813687911497254e+02 1.285344672535394217e+01
0.000000000000000000e+00 -5.196420189918263350e+05 4.317823874758705497e+06 3.222953814535443939e+02 1.627758936700918359e+13 9.124603625308885801e-02 7.362719186612534372e+01 8.557097182254654655e+00
0.000000000000000000e+00 -5.155614028086669859e+05 3.370745227298015729e+06 2.911810726742378392e+02 1.543752057041731641e+13 9.899872910049234420e-02 9.752583876938851404e+01 3.826997902489872594e+00
0.000000000000000000e+00 -4.924989683213330572e+05 4.142499996517192572e+06 4.157743282453089364e+02 1.335339982457675000e+13 8.806753471404343836e-02 2.601735012767809394e+02 1.851351644271927199e+01
0.000000000000000000e+00 -4.887318382069113431e+05 2.559439946718290448e+06 3.152234202859667676e+02 1.961087526851073438e+13 9.036386671032747842e-02 1.527996348795650192e+02 1.937690937171116445e+01
0.000000000000000000e+00 -4.820667380024702870e+05 3.222786031149481423e+06 3.927882599608772125e+02 1.225511168878169727e+13 9.867798204026154152e-02 3.611558852799381611e+02 1.624236816197583977e+01
