weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -6.897696837240115274e+05 8.817486145176745005e-01 8.952585680120793699e-01 8.268837092500691544e-01 9.515864347473826923e-01 3.209149047293085033e-01 6.527945129272949565e-02
0.000000000000000000e+00 -6.269132494726898149e+05 4.071724617485381614e-01 8.227049487130332350e-01 9.456522246630583162e-01 9.769111774640982793e-01 8.025316702400289159e-01 2.308224548163710921e-01
0.000000000000000000e+00 -6.157975129215087509e+05 6.722422990048282365e-01 7.645320958612465967e-01 8.432463962620677655e-01 9.641771087948814989e-01 5.819022276294903984e-01 6.815472143524493598e-01
0.000000000000000000e+00 -6.115370896691795206e+05 3.550504830159648684e-01 6.816500760306146711e-01 9.186333340664583069e-01 9.982795904654720998e-01 9.659163450201052603e-01 6.705788542683602804e-01
0.000000000000000000e+00 -5.842509867664178601e+05 4.950079571666332612e-01 9.146971220222021026e-01 9.675203075152911669e-01 9.097395496633743361e-01 8.269388341457977187e-01 2.913092158319774416e-01
0.000000000000000000e+00 -5.822282606810737634e+05 6.492353456379917898e-01 9.332662788599355164e-01 8.745241952281667119e-01 9.001319190794587755e-01 5.283539037699408469e-01 9.400407578731784231e-02
0.000000000000000000e+00 -5.307538067667928990e+05 9.398739776786235733e-01 8.905387877370061211e-01 5.410335535043762079e-01 8.910019154999966329e-01 4.671048342676524801e-01 6.238656171238916581e-01
0.000000000000000000e+00 -5.196420189918263350e+05 8.294559686896763040e-01 7.097622305762372186e-01 7.518392911339455420e-01 9.115761237685742202e-01 1.298514119716843718e-01 3.977419569607713035e-01
0.000000000000000000e+00 -5.155614028086669859e+05 5.926863068245039612e-01 6.390478924414496609e-01 6.958347046944877157e-01 9.898861525302256048e-01 1.786241607538541221e-01 1.487893632889406570e-01
0.000000000000000000e+00 -4.924989683213330572e+05 7.856249991292981738e-01 9.222143823757020797e-01 5.568933216384499563e-01 8.794700476166003034e-01 5.105581658709815729e-01 9.217640233010143680e-01
0.000000000000000000e+00 -4.887318382069113431e+05 3.898599866795726676e-01 6.936895915590153283e-01 9.740583512340488248e-01 9.026653203063380593e-01 2.914278262848265522e-01 9.672057564058507140e-01
0.000000000000000000e+00 -4.820667380024702870e+05 5.556965077873703418e-01 8.699733180929027920e-01 4.836741125854464585e-01 9.866462832349649492e-01 7.166446638366085198e-01 8.022299032618863679e-01
0.000000000000000000e+00 -4.739883126239752164e+05 2.635684178490982355e-01 6.170737123781024902e-01 7.676136048458073180e-01 9.793179949471902956e-01 8.374034032340196276e-01 3.210945110357512622e-01
0.000000000000000000e+00 -4.588524746726343874e+05 2.931137861617694185e-01 6.346130457778572653e-01 9.166946953161384526e-01 9.135143349971384108e-01 9.224105212539235321e-01 4.369548074199298693e-01
0.000000000000000000e+00 -4.587290784625803353e+05 8.454617521608649433e-01 5.042311621572094227e-01 8.658302946172318215e-01 8.794778021418150349e-01 8.353197583367117929e-01 3.682395350199079154e-01
0.000000000000000000e+00 -4.515524834903742303e+05 8.759919565209617343e-01 5.032258303694358004e-01 6.594464485816401433e-01 9.451002080178128040e-01 7.858130402954877081e-02 9.189661799905679551e-01
0.000000000000000000e+00 -4.191449141960057314e+05 7.181237975993659539e-01 1.279213827081261412e-01 7.527531346450869743e-01 9.918614016612281592e-01 5.904470942532201727e-01 8.520145065043763788e-01
0.000000000000000000e+00 -4.180760863158947323e+05 7.847475053962658098e-01 9.237070040222384870e-01 7.358170967821244801e-01 7.332474001723388035e-01 5.873853845607820423e-01 7.099970032601096159e-01
0.000000000000000000e+00 -4.035109993431771873e+05 6.193699654939578414e-01 2.970729852869558041e-01 7.045879146798845749e-01 9.612352359960100179e-01 9.308543817025727307e-01 4.613278352119686287e-01
0.000000000000000000e+00 -3.876147063208644395e+05 3.325033547473078555e-01 7.293559536471907467e-01 5.525734675760771708e-01 9.613901317116452239e-01 4.361416360882506282e-01 3.821820340742020372e-01
0.000000000000000000e+00 -3.835019257972416235e+05 9.069729667846487819e-01 7.182854759684451640e-01 2.111863744581684577e-01 9.805425807215032430e-01 1.874230406930540438e-01 1.818514373163346853e-01
0.000000000000000000e+00 -3.830846308753056219e+05 9.631095582467840144e-01 8.316044347123695557e-01 1.463628894060167163e-01 9.161681968480115401e-01 1.940447486609144789e-01 1.644015736934009153e-01
0.000000000000000000e+00 -3.781889315805002698e+05 9.270071748804931122e-01 8.822269362386395697e-01 6.965864904199725594e-01 6.586564751162768960e-01 2.250243987251003830e-01 2.559647219090199766e-01
0.000000000000000000e+00 -3.702823956856136210e+05 6.890198210334704809e-01 1.541476103526917552e-01 9.192367843926899651e-01 9.057033097539287647e-01 1.065472788309274055e-01 3.114248011040503528e-01
